,Year,Brand,Name,Device,Form Factor,Architecture,Synthesis,Synthesis Details,Polyphony,Oscillators,Multitimbral,Keys,MIDI,Memory,Key type,Velocity,Aftertouch,Produced,Duration,Fame
0,1896,Thaddeus Cahill,Thaddeus Cahill - Telharmonium,Synth,Keys,Analog,Analog,Electromagnetic,84,408,0,153,False,False,Keys,False,False,1896 - 1914,18,0.1820243502714849
1,1905,Max Kohl AG,Max Kohl Ag - Helmholtz Sound Synthesiser,Synth,Desktop,Analog,Analog,Acoustic resonators,10,10,0,0,False,False,Keys,False,False,1905 - 1905,0,0.0876957270555092
2,1928,Lev Sergeyevich Termen,Lev Sergeyevich Termen - Theremin,Synth,Desktop,Analog,Analog,VCO,1,3,1,0,False,False,,False,False,1928 - 1928,0,0.1111323501112304
3,1928,Maurice Martenot,Maurice Martenot - Ondes Martenot,Synth,Keys,Analog,Analog,VCO,1,1,0,72 / 84,False,False,Keys,False,False,1928 - 1988,60,0.2374284124864964
4,1930,Friedrich Trautwein,Friedrich Trautwein - Trautonium,Synth,Desktop,Analog,Analog,VCO,1,1,0,0,False,False,Wire,False,False,1930 - 1935,5,0.1327429736511503
5,1931,Lev Sergeyevich Termen,Lev Sergeyevich Termen - Rhythmicon,Drum,Desktop,Analog,Analog,VCO,16,0,0,0,False,False,Keys,False,False,1931 - 1963,32,0.0684715835416312
6,1938,Harald Bode,Harald Bode - Melodium,Synth,Keys,Analog,Analog,VCO,1,1,0,49,False,False,Keys,False,False,1938 - 1941,3,0.1336992676166018
7,1939,Hammond,Hammond - Novachord,Synth,Keys,Analog,Analog,VCO,72,12,0,72,False,False,Keys,False,False,1939 - 1942,3,0.1902548981161851
8,1939,Les Ondes Sonores Jenny,Ondioline,Synth,Keys,Analog,Analog,Tube,1,2,0,37,False,False,Keys + String,True,False,1947 - 1968,21,0.3051159840556183
9,1946,Jörgensen Electronics,Jörgensen Electronics - Tuttivox,Synth,Keys,Analog,Analog,VCO,1,1,0,36,False,False,Keys,False,False,1946 - 1961,15,0.1431260459411439
10,1948,Oskar Sala,Oskar Sala - Mixtur-Trautonium,Synth,Desktop,Analog,Analog,VCO,2,2,0,0,False,False,Wire,False,False,1948 - 1952,4,0.1672565759754022
11,1948,Chamberlin,Chamberlin - 100 Rhythmate,Drum,Sampler,Analog,Analog,Sample,1,0,0,0,False,False,,False,False,1948 - 1949,1,0.3343248851903297
12,1951,Chamberlin,Chamberlin - 200,Keys,Sampler,Analog,Analog,Sample,0,0,0,35,False,False,,False,False,1951 - 1959,8,0.2155116798682367
13,1953,Tolana-SAREG-ORTF,Tolana-Sareg-Ortf - Phonogène,Sampler,Keys,Analog,Analog,Sample (Tape),1,0,0,12,False,False,Keys,False,False,1953 - 1963,10,0.0927491576687159
14,1956,Manhattan Research,Manhattan Research - Clavivox,Synth,Keys,Analog,Analog,VCO,1,1,0,37,False,False,Keys,False,False,1956 - 1956,0,0.1388757519455399
15,1957,Evgeny Murzin,Evgeny Murzin - Ans Synthesizer,Synth,Desk,Analog,Analog,VCO,720,720,0,0,False,False,,False,False,1957 - 1958,1,0.4234726178337125
16,1958,Manhattan Research,Manhattan Research - Circle Machine,Synth,Rack,Analog,Analog,VCO,1,1,0,0,False,False,,False,False,1958 - 1958,0,0.1325223205218662
17,1959,Wurlitzer,Wurlitzer - Sideman,Drum,Floor-unit,Analog,Analog,VCO Preset,10,1,10,0,False,True,,False,False,1959 - 1959,0,0.1715257368517717
18,1960,Chamberlin,Chamberlin - 300-350 Remote,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1960 - 1969,9,0.1210649182326748
19,1960,Chamberlin,Chamberlin - 25-35-45 Rhythmate,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1960 - 1969,9,0.2135458991848725
20,1961,Ernst Schreiber,Ernst Schreiber - Subharchord,Synth,Keys,Analog,Analog,VCO,1,1,0,44,False,False,Keys,False,False,1961 - 1970,9,0.067264164959891
21,1961,Chamberlin,Chamberlin - 400,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1961 - 1961,8,0.113038078270488
22,1961,Chamberlin,Chamberlin - 500,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1961 - 1961,8,0.1175176823660378
23,1962,Chamberlin,Chamberlin - 600-660,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1962 - 1969,7,0.2427763981071246
24,1962,Paolo Ketoff,Paolo Ketoff - Synket,Synth,Keys,Analog,Analog,VCO,3,1,3,24x3,False,False,"Keys, mini",False,False,1962 - 1977,15,0.1273969191832951
25,1963,Buchla,Buchla - 100 Series,Synth,Desktop,Analog,Modular,VCO,0,0,0,0,False,False,,False,False,1963 - 1972,9,0.2697379018537664
26,1963,Hohner,Hohner - Basset,Synth,Keys,Analog,Analog,VCO Preset,1,1,0,24,False,True,Keys,False,False,1963 - 1967,4,0.4444017654594319
27,1963,Korg,Korg - Doncamatic Da-20,Drum,Keys,Analog,Analog,Sample,1,6,0,0,False,False,Keys,False,False,1963 - 1966,3,0.5153461214027361
28,1964,Moog,Moog - Prototype The First Moog Synthesizer,Synth,Keys,Analog,Analog,VCO,1,1,0,49x2,False,True,Keys,False,False,1964 - 1964,0,0.2727262841200589
29,1964,James Beauchamp,James Beauchamp - Harmonic Tone Generator,Synth,Rack,Analog,Analog,VCO,1,1,0,0,False,False,,False,False,1964 - 1964,0,0.1072095368780047
30,1964,Beaucamp,Beaucamp - Beaucamp Synth,Synth,Rack,Analog,Analog,VCO,1,1,0,37,False,False,Keys,False,False,1964 - 1964,0,0.1329268970196242
31,1964,Moog,Moog - Modular,Synth,Desktop,Analog,Analog,Modular,1,1,0,0,False,False,Keys,False,False,1964 - 1981,17,0.3401903578891664
32,1965,Ace Tone,Ace Tone - Fr-1,Drum,Desktop,Analog,Analog,VCO Preset,4,1,0,0,False,False,,False,False,1965 - 1965,0,0.4394566391570007
33,1965,Moog,Moog - Moogtonium,Synth,Desktop,Analog,Analog,Modular,2,2,2,0,False,False,Keys,False,False,1965 - 1968,3,0.1448534299798725
34,1966,Ace Tone,Ace Tone - Fr-20,Drum,Floor,Analog,Analog,VCO Preset,4,1,0,0,False,False,,False,False,1966 - 1966,0,0.4447218442517819
35,1966,Ace Tone,Ace Tone - Fr-2L,Drum,Desktop,Analog,Analog,VCO Preset,4,1,0,0,False,False,,False,False,1966 - 1966,0,0.3998338746890583
36,1966,Joh Mustad AB,Joh Mustad Ab - Ie-50 Tubon Bass Synthesizer,Synth,Keytar,Analog,Analog,VCO Preset,1,1,0,30,False,True,Keys mini,False,False,1966 - 1968,2,0.2054222396392583
37,1966,Korg,Korg - Doncamatic De-20,Drum,Keys,Analog,Analog,Sample,4,1,0,0,False,False,,False,False,1966 - 1968,2,0.239229604153526
38,1966,Korg,Korg - Minipops 7,Drum,Desktop,Analog,Analog,Preset,15,1,0,0,False,False,,False,False,1966 - 1966,0,0.3821717694492488
39,1967,Multivox,Multivox - Fr-13,Drum,Desktop,Analog,Analog,VCO Preset,8,1,0,0,False,False,,False,False,1967 - 1967,0,0.4116077791894501
40,1967,Ace Tone,Ace Tone - Fr-3,Drum,Desktop,Analog,Analog,VCO Preset,8,1,0,0,False,False,,False,False,1967 - 1967,0,0.383379438038517
41,1967,Korg,Korg - Minipops 20 S,Drum,Desktop,Analog,Analog,VCO Preset,5,1,5,0,False,False,,False,False,1967 - 1967,0,0.5646824819418913
42,1968,Hohner,Hohner - Bass 2,Synth,Keys,Analog,Analog,VCO Preset,1,1,0,30,False,True,Keys,False,False,1968 - 1974,6,0.2992762534951486
43,1969,Electronic Music Laboratories (EML),Electronic Music Laboratories (Eml) - Electrocomp Model 200,Synth,Desktop,Analog,Modular (Semi),VCO,1,2,0,0,False,True,,False,False,1969 - 1980,11,0.2126084206478933
44,1969,Electronic Music Studios (EMS),Electronic Music Studios (Ems) - Vcs3,Synth,Desktop,Analog,Analog,VCO,1,3,0,0,False,True,Button,False,False,1969 - 1994,25,0.4617340867081058
45,1970,Freeman,Freeman - String Symphonizer,Synth,Keys,Analog,Analog,VCO,61,25,0,91,False,False,Keys,False,False,1970 - 1970,0,0.5910744287873421
46,1970,Korg,Korg - Prototype One,Synth,Keys,Analog,Analog,VCO Preset,6,2,0,2x 49,False,False,Keys,False,False,1970 - 1970,0,0.3835305881469012
47,1970,Electronic Music Laboratories (EML),Electronic Music Laboratories (Eml) - Electrocomp Model 400-401,Synth,Desktop,Analog,Modular (Semi),VCO,1,2,0,0,False,True,,False,False,1970 - 1984,14,0.20478697800355
48,1970,Moog,Moog - Drum 701,Drum,Rack,Analog,Analog,VCO,6,1,6,0,False,False,,False,False,1970 - 1970,0,0.1487535522821245
49,1970,Moog,Moog - Minimoog,Synth,Keys,Analog,Analog,VCO,1,3,0,44,False,False,Keys,False,False,1970 - 1982,12,0.9902862049821092
50,1970,Manhattan Research,Manhattan Research - Electronium Mk Ii,Synth,Desktop,Analog,Analog,VCO,12,1,12,0,False,False,,False,False,1970 - 1977,7,0.1334114011555815
51,1970,Electronic Music Laboratories (EML),Electronic Music Laboratories (Eml) - Electrocomp Model 100,Synth,Keys,Analog,Modular (Semi),VCO,2,4,0,44,False,True,Keys,False,False,1970 - 1972,2,0.1820777048169083
52,1970,Chamberlin,Chamberlin - 800 Riviera,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1970 - 1981,11,0.1817861783886134
53,1970,Buchla,Buchla - System 101,Synth,Keys,Analog,Analog,VCO,1,4,1,37,False,False,Keys,False,False,1970 - 1978,8,0.1242751445522047
54,1970,Buchla,Buchla - 200 Series,Synth,Desktop,Analog,Modular,VCO,0,0,0,0,False,True,,False,False,1970 - 1978,8,0.2693803394741585
55,1970,ARP,Arp - Soloist,Synth,Keys,Analog,Analog,VCO Preset,1,1,0,37,False,True,Keys,False,False,1970 - 1971,1,0.6883260217202808
56,1970,ARP,Arp - Pro-Soloist,Synth,Keys,Analog,Analog,VCO Preset,1,1,0,37,False,True,Keys,False,False,1970 - 1977,7,0.490344364152138
57,1970,ARP,Arp - 2500,Synth,Keys,Analog,Modular,VCO,1,1,0,49,False,False,Keys,False,False,1970 - 1981,11,0.4531331886990346
58,1970,Aries,Aries - 300 Music System,Synth,Desktop,Analog,Modular,VCO,1,0,0,61,False,True,Keys,False,False,1970 - 1982,12,0.4015401066764747
59,1970,Chamberlin,Chamberlin - M1-M2-M4,Drum,Sampler,Analog,Analog,Sample,0,0,0,0,False,False,,False,False,1970 - 1981,11,0.2529923429569564
60,1971,Gil Mellé,Gil Mellé - Percussotron Iii,Drum,Desktop,Analog,Analog,VCO,8,1,8,0,False,False,Pads,False,False,1971 - 1971,0,0.1360590166249396
61,1971,Wurlitzer,Wurlitzer - Orbit Iii,Synth,Keys,Analog,Analog,VCO Preset,1,1,0,25,False,True,Mini keys,False,False,1971 - 1971,6,0.5036758907313487
62,1971,Multivox,Multivox - Mx-51,Synth,Keys,Analog,Analog,VCO Preset,61,1,0,61,False,True,Keys,False,False,1971 - 1975,4,0.465868924434206
63,1971,Electronic Music Studios (EMS),Electronic Music Studios (Ems) - Synthi Sequencer 256,Misc,Keys,Miscellaneous,Sequencer,Sequencer,0,0,0,0,False,True,Keys,False,False,1971 - 1971,0,0.2845761261591465
64,1971,E-mu,E-Mu - 25,Synth,Desktop/Keys,Analog,Analog,VCO,1,3,0,37,False,False,Keys,False,False,1971 - 1971,0,0.2722459496549957
65,1971,Electronic Music Studios (EMS),Electronic Music Studios (Ems) - Synthi 100,Synth,Desk,Analog,Analog,VCO,4,12,0,61 x2,False,True,Keys,False,False,1971 - 1982,11,0.159089082850423
66,1971,Buchla,Buchla - 500 Series,Synth,Desktop,Hybrid,Hybrid,Hybrid,12,4,0,0,False,False,Keys,False,False,1971 - 1980,9,0.2150785818048453
67,1971,ARP,Arp - 2600,Synth,Keys,Analog,Modular (Semi),VCO,1,3,0,49,False,False,"Remote Keyboard with 49 keys (Models: 3601, 3604, 3620)",False,False,1971 - 1980,9,0.5133942449940023
68,1971,Electronic Music Studios (EMS),Electronic Music Studios (Ems) - Synthi A,Synth,Desktop,Analog,Analog,VCO,1,3,0,0,False,True,Button,False,False,1971 - 1975,4,0.3144803820236915
69,1972,Korg,Korg - Deca-Korg,Synth,Keys,Analog,Analog,VCO Preset,4,2,0,61,False,False,Keys,False,False,1972 - 1974,2,0.1586968049754859
70,1972,Univox,Univox - Compac-Piano,Synth,Keys,Analog,Analog,VCO,61,12,0,61,False,False,Keys,False,False,1972 - 1980,8,0.2413474473520708
71,1972,Triadex,Triadex - Muse,Misc,Desktop,Miscellaneous,Sequencer,Sequencer,1,1,0,0,False,True,,False,False,1972 - 1972,0,0.4877344982117387
72,1972,PAiA,Paia - 2720 Synthesizer,Synth,Keys,Analog,Analog,Modular (Semi),1,1,0,37,False,False,Keys,False,False,1972 - 1978,6,0.1584631577214587
73,1972,ARP,Arp - Odyssey Rev1,Synth,Keys,Analog,Analog,VCO,2,2,0,37,False,True,Keys,False,False,1972 - 1981,9,0.2144721589946785
74,1972,Multivox,Multivox - Fr-6M,Drum,Desktop,Analog,Analog,VCO Preset,6,1,0,0,False,False,,False,False,1972 - 1972,0,0.1803462504791718
75,1972,Korg,Korg - Minipops Junior,Drum,Desktop,Analog,Analog,VCO Preset,4,1,4,0,False,False,,False,False,1972 - 1972,0,0.3255579619568889
76,1972,Multivox,Multivox - Fr-4,Drum,Desktop,Analog,Analog,VCO Preset,4,1,0,0,False,False,,False,False,1972 - 1972,0,0.4268425290452436
77,1972,Roland,Roland - Tr-33,Drum,Desktop,Analog,Analog,"VCO, preset",1,4,0,0,False,True,,False,False,1972 - 1973,1,0.4633778991103591
78,1972,Roland,Roland - Tr-55,Drum,Desktop,Analog,Analog,"VCO, preset",1,4,0,0,False,True,,False,False,1972 - 1973,1,0.4369058617494732
79,1972,Roland,Roland - Tr-77,Drum,Desktop,Analog,Analog,"VCO, preset",1,4,0,0,False,False,,False,False,1972 - 1973,1,0.2977445244374909
80,1972,Moog muSonics,Moog Musonics - Sonic Six,Synth,Keys,Analog,Analog,VCO,2,2,0,49,False,False,Keys,False,False,1972 - 1979,7,0.5578924820612358
81,1972,ARP,Arp - Odyssey Rev3,Synth,Keys,Analog,Analog,VCO,2,2,0,37,False,False,Keys,False,False,1972 - 1981,9,0.2226763693149126
82,1972,Buchla,Buchla - Music Easel,Synth,Desktop,Analog,Analog,VCO,2,2,2,0,False,False,"Touch pads, Key shaped",False,False,1972 - 1973,1,0.2801710088458502
83,1972,Electronic Music Studios (EMS),Electronic Music Studios (Ems) - Synthi Aks,Synth,Desktop,Analog,Analog,VCO,1,3,0,0,False,True,Capacitive touch keys,False,False,1972 - 1979,7,0.3624538708608089
84,1972,Electronic Music Laboratories (EML),Electronic Music Laboratories (Eml) - Electrocomp Model 101,Synth,Keys,Analog,Modular (Semi),VCO,2,4,0,44,False,True,Keys,False,False,1972 - 1982,10,0.2125524366813567
85,1972,Davoli,Davoli - Davolisint,Synth,Keys,Analog,Analog,VCO,1,2,0,25,False,True,Keys,False,False,1972 - 1975,3,0.2680911660482489
86,1972,Ace Tone,Ace Tone - Fr-7L,Drum,Desktop,Analog,Analog,VCO Preset,4,1,0,0,False,False,,False,False,1972 - 1972,0,0.4772693917300311
87,1972,Ace Tone,Ace Tone - Fr-6,Drum,Desktop,Analog,Analog,VCO Preset,6,1,0,0,False,False,,False,False,1972 - 1972,0,0.4324365644570062
88,1972,Crumar,Crumar - Compac-Piano,Synth,Keys,Analog,Analog,VCO,61,12,0,61,False,False,Keys,False,False,1972 - 1980,8,0.160601408428188
89,1972,Electronic Music Laboratories (EML),Electronic Music Laboratories (Eml) - Electrocomp Model 300,Synth,Desktop,Analog,Modular (Semi),VCO,1,1,0,0,False,True,Buttons,False,False,1972 - 1984,12,0.180741403783701
90,1972,ARP,Arp - Odyssey Rev2,Synth,Keys,Analog,Analog,VCO,2,2,0,37,False,False,Keys,False,False,1972 - 1981,9,0.1947027623256868
91,1972,Ace Tone,Ace Tone - Fr-8L,Drum,Desktop,Analog,Analog,VCO Preset,6,1,0,0,False,False,,False,False,1972 - 1972,0,0.449144146153512
92,1972,Moog muSonics,Moog Musonics - Sonic V,Synth,Keys,Analog,Analog,VCO,2,2,0,49,False,False,Keys,False,False,1972 - 1979,7,0.4893714284984104
93,1973,Yamaha,Yamaha - Gx1,Synth,Keys,Analog,Analog,VCO,9,2,4,37,False,True,Mini keys,False,False,1973 - 1977,4,0.6327808803751699
94,1973,Roland,Roland - Tr-66,Drum,Desktop,Analog,Analog,VCO Preset,6,1,0,0,False,False,,False,False,1973 - 1982,9,0.432115064162533
95,1973,Roland,Roland - Re-201 Space Echo,Misc,Desktop,Analog,FX,Analog,0,0,0,0,False,True,,False,False,1973 - 1988,15,0.3345843448578751
96,1973,Roland,Roland - Sh-2000,Synth,Keys,Analog,Analog,VCO,1,1,0,37,False,True,Keys,False,False,1973 - 1981,8,0.3776484336386643
97,1973,Suzuki,Suzuki - Eb-24,Synth,Keys,Analog,Analog,VCO Preset,1,1,1,24,False,False,Keys,False,False,1973 - 1973,0,0.187512955713486
98,1973,Micor,Micor - Coupland Digital Synthesizer,Synth,Keys,Digital,Digital,WT,16,2,2,88,False,False,Keys,False,False,1973 - 1973,0,0.3895903998707339
99,1973,Multivox,Multivox - Mx-880,Synth,Keys,Analog,Analog,VCO Preset,2,2,0,37,False,True,Keys,False,False,1973 - 1976,3,0.3534205934031706
100,1973,Steelphon,Steelphon - S900,Synth,Keys,Analog,Analog,VCO,1,2,0,37,False,True,Keys,False,False,1973 - 1978,5,0.2331490496392244
101,1973,Steelphon,Steelphon - Mago,Synth,Keys,Analog,Analog,VCO,1,1,0,37,False,False,Keys,False,False,1973 - 1975,2,0.2237486604301441
102,1973,Roland,Roland - Sh-1000,Synth,Keys,Analog,Analog,VCO,1,1,0,37,False,True,Keys,False,False,1973 - 1981,8,0.5732937740841997
103,1973,Roland,Roland - Tr-330,Drum,Desktop,Analog,Analog,"VCO, preset",1,8,0,0,False,True,,False,False,1973 - 1974,1,0.5198483807250336
104,1973,Ionic Industries,Ionic Industries - Ionic Performer,Synth,Keys,Analog,Analog,VCO,1,3,0,61,False,False,Keys,False,False,1973 - 1973,0,0.1436948218881565
105,1973,Logan,Logan - String Melody (I+Ii),Synth,Keys,Analog,Analog,Preset,49,49,0,49,False,True,Keys,False,False,1973 - 1980,7,0.0098665320112718
106,1973,Crumar,Crumar - Compac-Brass,Synth,Keys,Analog,Analog,VCO,49,1,1,49,False,True,Keys,False,False,1973 - 1973,0,0.1830866888417663
107,1973,E-mu,E-Mu - Modular Systems,Synth,Keys,Analog,Modular,VCO,2,2,0,61,False,True,Keys,False,False,1973 - 1981,8,0.3168028326706342
108,1973,Electronic Music Laboratories (EML),Electronic Music Laboratories (Eml) - Electrocomp Model 500,Synth,Keys,Analog,Analog,VCO,1,2,0,44,False,True,Keys,False,False,1973 - 1984,11,0.2132579130128289
109,1973,FBT Electronica,Fbt Electronica - Synther-2000,Synth,Keys,Analog,Analog,VCO,1,3,0,37,False,True,Keys,False,False,1973 - 1973,0,0.21771671277451
110,1973,Baldwin,Baldwin - Syntha-Sound,Synth,Keys,Analog,Analog,VCO,1,1,1,37,False,True,Keys,False,False,1973 - 1975,2,0.243060677631247
111,1973,Hohner,Hohner - String Melody (I+Ii),Synth,Keys,Analog,Analog,Preset,49,49,0,49,False,True,Keys,False,False,1973 - 1980,7,0.0077878423018001
112,1973,Crumar,Crumar - Compac-String,Synth,Keys,Analog,Analog,VCO,49,1,0,49,False,True,Keys,False,False,1973 - 1973,0,0.1772620284866889
113,1973,Hillwood,Hillwood - Blue Comets 73,Synth,Keys,Analog,Analog,VCO,1,1,0,37,False,False,Keys,False,False,1973 - 1975,2,0.2437895652254497
114,1973,Buchla,Buchla - 300 Series,Synth,Desktop,Hybrid,"Hybrid, Modular",Hybrid,0,0,0,0,False,False,,False,False,1973 - 1980,7,0.1560672995838588
115,1974,ARP,Arp - Explorer 1,Synth,Keys,Analog,Analog,VCO Preset,1,1,0,37,False,True,Keys,False,False,1974 - 1978,4,0.2361365379283085
116,1974,Sequential Circuits,Sequential Circuits - Model 600,Synth,Desktop,Analog,Analog,VCO,1,1,0,0,False,False,,False,False,1974 - 1975,1,0.3714639830073872
117,1974,Roland,Roland - Sh-3A,Synth,Keys,Analog,Analog,VCO,1,1,0,44,False,True,Keys,False,False,1974 - 1976,2,0.6273673320815659
118,1974,Roland,Roland - System 100M,Synth,Keys,Analog,Modular,VCO,1,1,0,32/49,False,False,Keys,False,False,1974 - 1984,10,0.7142583392207563
119,1974,PAiA,Paia - Gnome,Synth,Desktop,Analog,Analog,VCO,1,1,0,0,False,True,Touchplate,False,False,1974 - 1982,8,0.1844449096083917
120,1974,ARP,Arp - Solina String Ensemble,Synth,Keys,Analog,Analog,VCO Preset,49,6,0,49,False,False,Keys,False,False,1974 - 1981,7,0.399806246611542
121,1974,PAiA,Paia - Stereo Chord Egg,Misc,FX,Analog,Analog,VCO,0,0,0,0,False,False,,False,False,1974 - 1974,0,0.1474221174613042
122,1974,Yamaha,Yamaha - Sy-1,Synth,Keys,Analog,Analog,VCO Preset,1,1,0,37,False,True,Keys,False,False,1974 - 1979,5,0.4534568755074369
123,1974,Maplin,Maplin - Eti 4600,Synth,Keys,Analog,Analog,VCO,1,4,1,48,False,False,Keys,False,False,1974 - 1974,0,0.1423375533760653
124,1974,Korg,Korg - Minikorg-700,Synth,Keys,Analog,Analog,VCO,1,1,0,37,False,True,Keys,False,False,1974 - 1974,0,0.4937324302579776
125,1974,Korg,Korg - Minikorg-700S,Synth,Keys,Analog,Analog,VCO,1,2,0,37,False,True,Keys,False,False,1974 - 1974,0,0.4828433847946574
126,1974,RMI,Rmi - Harmonic Synthesizer,Synth,Keys,Analog,Analog,DCO,1,2,0,78,False,False,Keys,False,False,1974 - 1976,2,0.3621006332878476
127,1974,Electronic Music Studios (EMS),Electronic Music Studios (Ems) - Spectron (Spectre),Synth,Desktop,Analog,Analog,VCO,1,2,0,0,False,False,,False,False,1974 - 1974,0,0.1306821398479292
128,1974,Crumar,Crumar - Stringman,Synth,Keys,Analog,Analog,VCO,61,1,3,61,False,True,Keys,False,False,1974 - 1974,0,0.4674181523294404
129,1974,Oberheim,Oberheim - Sem,Synth,Desktop,Analog,Analog,VCO,1,2,0,0,False,True,,False,False,1974 - 1979,5,0.4655556739996844
130,1974,Crumar,Crumar - Jazzman,Synth,Keys,Analog,Analog,VCO,61,1,4,61,False,True,Keys,False,False,1974 - 1974,0,0.2339899325645491
131,1974,Hammond,Hammond - Auto-Vari 64,Drum,Desktop,Analog,Analog,VCO Preset,7,1,0,0,False,True,,False,False,1974 - 1976,2,0.2399764093102158
132,1974,Hammond,Hammond - 102200 Preset Synth,Synth,Keys,Analog,Analog,VCO,1,1,0,44,False,True,Keys,False,False,1974 - 1975,1,0.2305644147457121
133,1974,Crumar,Crumar - Pianoman,Synth,Keys,Analog,Analog,VCO,61,1,3,61,False,True,Keys,False,False,1974 - 1974,0,0.2694535401364238
134,1974,Multivox,Multivox - Fr-7M,Drum,Desktop,Analog,Analog,VCO Preset,6,1,0,0,False,False,,False,False,1974 - 1974,0,0.151865105448303
135,1974,Crumar,Crumar - Brassman,Synth,Keys,Analog,Analog,VCO,49,1,4,49,False,True,Keys,False,False,1974 - 1974,0,0.2685411476646474
136,1974,GR International,Gr International - Bandmaster Powerhouse,Drum,Desktop,Analog,Analog,Sample,1,0,0,0,False,False,,False,False,1974 - 1976,2,0.2678152585561739
137,1974,Maplin,Maplin - Eti 3600,Synth,Keys,Analog,Analog,VCO,1,3,1,37,False,False,Keys,False,False,1974 - 1974,0,0.1459309724343666
138,1974,Univox,Univox - Jazzman Jm115,Synth,Keys,Analog,Analog,VCO,61,1,0,61,False,True,Keys,False,False,1974 - 1974,0,0.2106404068167688
139,1975,ARP,Arp - Omni,Synth,Keys,Analog,Analog,VCO Preset,49,4,0,49,False,True,Keys,False,False,1975 - 1981,6,0.4267688394327832
140,1975,Serge Modular,Serge Modular - General Info,Synth,Rack,Analog,Analog,VCO,0,0,0,16,False,,Touch plates,False,False,1975 - 1985,10,0.1495279697923039
141,1975,Roland,Roland - System 100,Synth,Keys,Analog,Modular (Semi),VCO,1,2,0,27,False,,Keys,False,False,1975 - 1979,4,0.3775396733710253
142,1975,Steiner-Parker,Steiner-Parker - Synthasystem,Synth,Keys,Analog,Modular,VCO,2,3,0,49,False,True,Keys,False,False,1975 - 1979,4,0.4002702030969596
143,1975,Sequential Circuits,Sequential Circuits - Model 800,Misc,Desktop,Miscellaneous,Sequencer,Sequencer,0,0,0,0,False,,,False,False,1975 - 1975,0,0.3170220171040179
144,1975,Univox,Univox - Maxi-Korg,Synth,Keys,Analog,Analog,VCO,2,2,0,44,False,True,Keys,False,False,1975 - 1975,0,0.4578894385087236
145,1975,Oberheim,Oberheim - 4 Voice,Synth,Keys,Analog,Analog,VCO,4,4,0,49,False,True,Keys,False,False,1975 - 1979,4,0.3688036678458943
146,1975,Thomas,Thomas - Synti 1055,Synth,Keys,Analog,Analog,VCO,1,1,0,44,False,True,Keys,False,False,1975 - 1976,1,0.2142833288644327
147,1975,Oberheim,Oberheim - 2 Voice,Synth,Keys,Analog,Analog,VCO,2,2,0,37,False,,Keys,False,False,1975 - 1979,4,0.4714537760220797
148,1975,Norman Lederman,Norman Lederman - Minitron,Sampler,Keys,Analog,Analog,Sample (Tape),48,1,0,48,False,,Keys,False,False,1975 - 1980,5,0.1490931220607302
149,1975,Moog,Moog - Micromoog,Synth,Keys,Analog,Analog,VCO,1,1,0,32,False,True,Keys,False,False,1975 - 1975,0,0.438428589461276
150,1975,PAiA,Paia - Programmable Drum Set,Drum,Desktop,Analog,Analog,VCO Preset,5,1,0,0,False,,,False,False,1975 - 1983,8,0.2110268089313099
151,1975,Steiner-Parker,Steiner-Parker - S/R-8,Synth,Desktop,Analog,Analog,VCO,8,8,0,0,False,True,,False,False,1975 - 1977,2,0.1551186635488593
152,1975,Yamaha,Yamaha - Sy-2,Synth,Keys,Analog,Analog,VCO Preset,1,1,0,37,False,True,Keys,False,False,1975 - 1979,4,0.4963097548682559
153,1975,Moog,Moog - Taurus I,Synth,Pedals,Analog,Analog,VCO,1,2,0,13,False,True,Pedals,False,False,1975 - 1981,6,0.5573694652769685
154,1975,Roland,Roland - Rs-101,Synth,Keys,Analog,Analog,VCO Preset,61,61,3,61,False,True,Keys,False,False,1975 - 1975,0,0.5220010873942184
155,1975,Moog,Moog - Polymoog (203A),Synth,Keys,Analog,Analog,VCO,71,2,0,71,False,True,Keys,False,False,1975 - 1978,3,0.3295792038886749
156,1975,Steiner-Parker,Steiner-Parker - Synthacon,Synth,Keys,Analog,Analog,VCO,1,3,0,49,False,True,Keys,False,False,1975 - 1977,2,0.5059046418102605
157,1975,Moog,Moog - Satellite,Synth,Keys,Analog,Analog,VCO,1,1,0,37,False,True,Keys,False,False,1975 - 1976,1,0.4324770483473072
158,1975,PAiA,Paia - The Drum,Drum,Desktop,Analog,Analog,VCO,4,1,0,0,False,,,False,False,1975 - 1978,3,0.1856286020797107
159,1975,Moog,Moog - Minitmoog,Synth,Keys,Analog,Analog,VCO,1,2,0,37,False,True,Keys,False,False,1975 - 1976,1,0.3279454909666903
160,1975,Electronic Music Studios (EMS),Electronic Music Studios (Ems) - Vocoder 2000,Misc,Rack,Miscellaneous,Vocoder,Vocoder,0,1,0,0,False,True,,False,False,1975 - 1979,4,0.3143665525225907
