,Year,Brand,Name,Device,Form Factor,Architecture,Synthesis,Synthesis Details,Polyphony,Oscillators,Multitimbral,Keys,MIDI,Memory,Key type,Velocity,Aftertouch,Produced,Duration,Fame
1952,2016,Soma,Soma - Lyra-4,Synth,Desktop,Analog,Analog,"VCO, FM",4,4,1,0,False,,Touch plates,False,False,2016 - Present,9,0.2583626823508276
1953,2016,Korg,Korg Volca Kick,Synth,Keys,Analog,Analog,VCO,1,0,0,16,True,True,,False,False,2016 - Present,9,0.5113290564725007
1954,2016,Teenage,Teenage Engineering Po 28 Robot,Synth,Keys,Digital,FM synthesis,FM,16,0,0,16,True,True,,False,False,2016 - Present,9,0.3354346305666815
1955,2016,Roland,Roland Tb 03,Synth,Desktop,Digital,Modeling,ACB,1,0,0,0,True,True,,False,,2016 - Present,9,0.4150125999336501
1956,2016,Zeppelin Design Labs,Zeppelin Design Labs - Macchiato Mini Synth,Synth,Desktop,Digital,Digital,ROM,1,1,0,0,True,,Touch plates,False,False,2016 - Present,9,0.1816274239011341
1957,2016,Cyclone,Cyclone - Tt-303 (V2),Synth,Desktop,Analog,Analog,VCO,1,1,1,0,True,True,Buttons,False,False,2016 - Present,9,0.2476762564465108
1958,2016,Eowave,Eowave - Capsule Titan Modular Synthesizer,Synth,Desktop,Analog,Analog,Modular (Semi),1,2,1,0,True,,,False,,2016 - 2016,0,0.1878662995632302
1959,2016,Eowave,Eowave - Ribbon 2,Synth,Ribbon Controller,Digital,Digital,VA,1,1,1,1,True,True,Ribbon,False,True,2016 - Present,9,0.222650563587914
1960,2016,Cyclone,Cyclone - Tt-78,Drum,Desktop,Analog,Analog,VCO Preset,11,1,11,0,True,,,False,,2016 - Present,9,0.2569840122046719
1961,2016,Korg,Korg Microkorg S,Synth,Keys,Digital,Virtual Analog,VA,4,2,0,37,True,True,,True,False,2016 - Present,9,0.4567782252960194
1962,2016,Korg,Korg - Arp Odyssey Rev 3 Desktop,Synth,Desktop,Analog,Analog,VCO,2,2,1,0,True,,,False,,2016 - 2021,5,0.2187808588499091
1963,2016,Korg,Korg - Minilogue,Synth,Keys,Analog,Analog,VCO,4,2,1,37,True,True,Mini keys,True,False,2016 - 2022,6,0.4505670185960466
1964,2016,Doepfer,Doepfer A 100Bs2 P9 Psu3,Synth,Desktop,Analog,Analog,Modular,1,0,0,0,True,True,,False,,2016 - Present,9,0.1317207596394481
1965,2016,Korg,Korg - Volca Fm,Synth,Desktop,Digital,Digital,FM,3,6,1,0,True,True,Touch Membrame,False,False,2016 - 2021,5,0.4163594274082818
1966,2016,Erica Synths,Erica Synths - Black Classic System,Synth,Desktop,Analog,Analog,Modular (Semi),1,2,1,0,True,,,False,,2016 - Present,9,0.1627812375922939
1967,2016,Erica Synths,Erica Synths - Pico System,Synth,Desktop,Analog,Analog,Modular,1,2,1,0,False,,,False,,2016 - Present,9,0.2447129720617323
1968,2016,Moog,Moog - Model 15,Synth,Desktop,Analog,Analog,Modular,1,1,0,0,False,,Keys,False,False,2016 - 2016,0,0.4264273512087312
1969,2016,GRP Synthesizer,Grp Synthesizer - A2,Synth,Desktop,Analog,Analog,VCO,1,2,0,0,True,,,False,,2016 - Present,9,0.1566078058225997
1970,2016,Teenage,Teenage Engineering Po 20 Arcade,Synth,Keys,Digital,FM synthesis,FM,16,0,0,16,True,True,,False,False,2016 - Present,9,0.3972404500268285
1971,2016,Twisted Electrons,Twisted Electrons - Ay3 Mkii,Synth,Desktop,Digital,Digital,ROM,6,6,1,0,True,True,,False,,2016 - Present,9,0.1700513541331714
1972,2016,Korg,Korg - Monologue,Synth,Keys,Analog,Analog,VCO,1,2,1,25,True,True,Mini keys,True,False,2016 - Present,9,0.507468978263218
1973,2016,Kurzweil,Kurzweil - Forte,Synth,Keys,Digital,Digital,"Sample, Wave",128,32,16,88,True,True,"Keys, Hammer action",True,channel,2016 - Present,9,0.3661385417929929
1974,2016,Leploop,Leploop - Multicassa Trautoritmica,Drum,Desktop,Analog,Analog,VCO,3,1,3,0,False,,,False,,2016 - 2023,7,0.2254491760328988
1975,2016,20-Music,20-Music - 20,Synth,Keys,Digital,Digital,Wave,25,3,16,49,True,True,Keys,True,channel,2016 - 2016,0,0.1000795281218228
1976,2016,Arturia,Arturia - Drumbrute,Drum,Desktop,Analog,Analog,VCO Preset,12,1,12,0,True,True,Pads,True,False,2016 - Present,9,0.3866797144960795
1977,2016,Audiothingies,Audiothingies - Micromonsta,Synth,Desktop,Digital,Digital,"VA, PM, Wavetable",8,2,1,0,True,True,,False,,2016 - 2019,3,0.2072530396019293
1978,2016,Atmosynth,Atmosynth - Mochika X3,Synth,Desktop,Analog,Analog,VCO,1,1,1,0,True,,,False,,2016 - 2019,3,0.1813017808412588
1979,2016,Roland,Roland - System 500,Synth,Desktop/Rack,Analog,Modular,VCO,1,2,0,0,False,,,False,,2016 - 2023,7,0.3431421407988386
1980,2016,Roland,Roland - Boutique Vp-03,Misc,Desktop,Miscellaneous,Vocoder,"VA, ACB",6,1,1,0,True,True,Buttons,False,False,2016 - 2018,2,0.4421739796283848
1981,2016,Critter & Guitari,Critter & Guitari - Organelle,Synth,Desktop,Digital,Digital,Pure Data engine,0,0,0,0,True,True,Butttons,False,False,2016 - Present,9,0.0824921970514841
1982,2016,Pin Electronics,Pin Electronics - The Hornet,Synth,Desktop,Analog,Analog,Modular,1,3,1,0,True,,,False,,2016 - 2018,2,0.2081711491365135
1983,2016,Unatronics,Unatronics - Wobbulator,Synth,Desktop,Digital,Digital,ROM,1,1,0,0,False,,,False,,2016 - Present,9,0.1624674504754414
1984,2016,Arturia,Arturia - Matrixbrute,Synth,Keys,Analog,Analog,VCO,2,3,2,49,True,True,Keys,True,channel,2016 - Present,9,0.4080652867080853
1985,2016,AVP,Avp - Mad-5,Drum,Desktop,Analog,Analog,VCO,5,1,5,0,True,,,False,,2016 - 2018,2,0.3281657978858158
1986,2016,Ciat Lonbarde,Ciat Lonbarde - Tocante Karper,Synth,Desktop,Digital,Digital,Noice,1,2,1,0,False,,Touch plates,False,False,2016 - Present,9,0.1643112519393655
1987,2016,Moog,Moog - Minimoog (2016),Synth,Keys,Analog,Analog,VCO,1,3,0,44,True,,Keys,True,channel,2016 - 2017,1,0.3902869739820057
1988,2016,Clavia,Clavia - Nord Piano 3,Synth,Keys,Digital,Digital,"PCM, Sample",60,2,2,88,True,True,"Keys, Hammer action",False,,2016 - Present,9,0.3608179745308913
1989,2016,Yamaha,Yamaha Mx61 V2 Black,Synth,Keys,Digital,Sample-based,Sample,128,0,0,61,True,True,,True,False,2016 - Present,9,0.1303256962781918
1990,2016,Ciat Lonbarde,Ciat Lonbarde - Grassi Organ,Synth,Desktop,Digital,Digital,VA,1,2,1,0,False,,Touch plates,False,False,2016 - Present,9,0.1867189160977555
1991,2016,Mode Machines,Mode Machines - Adx-1,Drum,Desktop,Analog,Analog,VCO,5,1,5,0,True,True,Buttons,False,False,2016 - 2021,5,0.2140643797990156
1992,2016,Clavia,Clavia - Nord Drum 3P,Drum,Desktop,Digital,Digital,"VA, FM, PM",6,1,6,0,True,True,Pads,True,,2016 - Present,9,0.418352406653421
1993,2016,Sound Machines,Sound Machines - Ns1 Nanosynth,Synth,Desktop,Analog,Analog,VCO,1,1,0,0,True,,,False,,2016 - Present,9,0.1538695398618503
1994,2016,MFB,Mfb - Tanzmaus,Drum,Desktop,Hybrid,Hybrid,"VCO, PCM",6,1,1,0,True,,,False,,2016 - 2021,5,0.2860176454880238
1995,2016,Soulsby,Soulsby - Odytron,Synth,Desktop,Digital,Digital,WT,2,2,0,0,True,True,,False,,2016 - 2016,0,0.1831258704364337
1996,2016,Kurzweil,Kurzweil - Forte 7,Synth,Keys,Digital,Digital,"Sample, Wave",128,32,16,76,True,True,"Keys, Hammer action",True,channel,2016 - 2020,4,0.3984040138937033
1997,2016,Teenage Engineering,Teenage Engineering - Po-24 Office,Synth,Desktop,Digital,Digital,"PM, ROM",16,1,1,0,False,True,Buttons,False,False,2016 - Present,9,0.3775420362349724
1998,2016,Modal,Modal - 008,Synth,Keys,Analog,Analog,VCO,8,2,2,61,True,True,Keys,True,channel,2016 - 2023,7,0.1642390741363918
1999,2016,Anyware-Instruments,Anyware-Instruments - Minisizer,Synth,Desktop,Analog,Modular,VCO,1,1,1,0,True,,,False,,2016 - 2019,3,0.2202529911858517
2000,2016,Roland,Roland - Aira System-8,Synth,Keys,Digital,Digital,"VA, ACB",8,3,1,49,True,True,Keys,True,False,2016 - Present,9,0.3349963765090146
2001,2016,Ciat Lonbarde,Ciat Lonbarde - Zenert,Synth,Desktop,Digital,Digital,Noice,1,1,1,0,False,,Touch plate,False,False,2016 - Present,9,0.2136543046035333
2002,2016,PHOBoS,Phobos - Nandulator,Synth,Desktop,Digital,Digital,Digital,1,3,0,0,False,,,False,,2016 - Present,9,0.0660915540478401
2003,2016,Preen FM,Preen Fm - Preen Fm2,Synth,Desktop,Digital,Digital,FM,14,6,4,0,True,True,,False,,2016 - Present,9,0.2266837267799551
2004,2016,Roli,Roli - Blocks,Misc,Desktop,Miscellaneous,Controller,Controller,0,0,0,0,True,,Touchpad,False,,2016 - 2021,5,0.2811032008951134
2005,2016,Percussa,Percussa - Synthor,Synth,Desktop,Digital,Digital,Modular,0,0,8,0,True,,,False,,2016 - 2017,1,0.2498590865707433
2006,2016,Kurzweil,Kurzweil - Forte Se,Synth,Keys,Digital,Digital,"Sample, Wave",128,2,16,88,True,True,"Keys, Hammer action",True,channel,2016 - 2020,4,0.4119747094973858
2007,2016,Pittsburgh Modular,Pittsburgh Modular - Lifeforms Sv-1 Blackbox,Synth,Desktop,Analog,Analog,Modular,1,2,1,0,True,,,False,,2016 - 2021,5,0.1251092194965606
2008,2016,Modal,Modal - Craftsynth,Synth,Desktop,Digital,Digital,VA,1,2,1,0,True,True,Touch plates,False,False,2016 - 2023,7,0.161456693558225
2009,2016,Pittsburgh Modular,Pittsburgh Modular - Lifeforms System-201,Synth,Desktop,Analog,Analog,Modular,1,2,1,0,True,,Touchpads,False,False,2016 - 2021,5,0.1861204414448154
2010,2016,Pittsburgh Modular,Pittsburgh Modular - Lifeforms System-301,Synth,Desktop,Analog,Analog,Modular,1,2,1,0,True,,Touchpads,False,False,2016 - 2021,5,0.1545107957979096
2011,2016,Roland,Roland - Boutique Tb-03,Synth,Desktop,Digital,Digital,"VA, ACB",1,1,1,0,True,True,Buttons,False,False,2016 - Present,9,0.4699812893308237
2012,2016,Roland,Roland - Boutique Tr-09,Drum,Desktop,Digital,Digital,"VA, ACB",10,1,1,0,True,True,Buttons,False,False,2016 - 2019,3,0.4392966144234799
2013,2016,Modal,Modal - 008R,Synth,Rack,Analog,Analog,VCO,8,2,2,0,True,True,,False,,2016 - 2023,7,0.1628953272563224
2014,2016,Pittsburgh Modular,Pittsburgh Modular - Lifeforms System-101,Synth,Desktop,Analog,Analog,Modular,1,2,1,0,True,,,False,,2016 - 2021,5,0.1274126682912561
2015,2016,Teenage Engineering,Teenage Engineering - Po-28 Robot,Synth,Desktop,Digital,Digital,"PM, ROM",16,1,1,0,False,True,Buttons,False,False,2016 - Present,9,0.3294545207954307
2016,2016,Lorre Mill,Lorre Mill - Double Knot,Synth,Desktop,Analog,Modular (Semi),VCO,1,2,1,0,False,,,False,,2016 - Present,9,0.1874734151737532
2017,2016,Chamber of Sounds,Chamber Of Sounds - Jt3,Synth,Desktop,Analog,Analog,VCO,1,2,0,0,False,,,False,,2016 - 2016,0,0.1966490975582454
2018,2016,Manikin,Manikin - Memotron M2D,Synth,Desktop,Digital,Digital,Sample,111,1,3,0,True,True,,False,,2016 - Present,9,0.188113789793215
2019,2016,Meeblip,Meeblip - Triode,Synth,Desktop,Digital,Digital,WT,1,3,1,0,True,,,False,,2016 - Present,9,0.1805336651354217
2020,2016,Korg,Korg - Arp Odyssey Rev 1 Desktop,Synth,Desktop,Analog,Analog,VCO,2,2,1,0,True,,,False,,2016 - 2020,4,0.2455186513039372
2021,2016,Make Noise,Make Noise - 0-Coast,Synth,Desktop,Analog,Modular (Semi),VCO,1,1,1,0,True,,,False,,2016 - Present,9,0.2510704767177581
2022,2016,MFB,Mfb - Tanzbär Lite,Drum,Desktop,Hybrid,Hybrid,"VCO, PCM",6,1,1,0,True,,,False,,2016 - 2021,5,0.2438297483673986
2023,2016,Moog,Moog - System 55,Synth,Desktop,Analog,Modular,Modular,2,2,0,0,False,True,,False,,2016 - 2017,1,0.3077515403155265
